pointId,name,location,routeId,tagUid
DQ-O-P01,海水净化MCC段盘柜,化水区域,DQ-O,04766AFAFE1291
DQ-O-P02,锅炉补给水MCC段盘柜,化水区域,DQ-O,04821CFAFE1290
DQ-O-P03,综合水泵房MCC段配电间,化水区域,DQ-O,043EB2FAFE1291
DQ-O-P04,水处理PC配电间,化水区域,DQ-O,0438A6FAFE1290
DQ-O-P05,CC循环水泵房MCC段配电间,CC循环水泵房,DQ-O,045AD3FAFE1291
DQ-O-P06,厂前区PC配电间,C型楼1F,DQ-O,04C1B9FAFE1290
DQ-O-P07,电子间,集控楼2F,DQ-O,041FCBFAFE1291
DQ-O-P08,集控楼电缆夹层,集控楼1F,DQ-O,040A6EFAFE1291
DQ-O-P09,集控楼MCC及UPS室,集控楼1F,DQ-O,042976FAFE1291
DQ-O-P10,集控楼蓄电池室,集控楼1F,DQ-O,0447D3FAFE1291
DQ-O-P11,集控楼气体消防储罐间,集控楼1F,DQ-O,044CA7FAFE1291
DQ-O-P12,GIS室,升压站区域,DQ-O,04E4F7FAFE1290
DQ-O-P13,升压站,升压站区域,DQ-O,043E84FAFE1291
DQ-O-P14,网控继电器室,升压站区域,DQ-O,045BDFFAFE1291
DQ-O-P15,网控蓄电池室,升压站区域,DQ-O,04238AFAFE1291
DQ-O-P16,仪表空压机房MCC段盘柜,仪表空压机房,DQ-O,040A40FAFE1291
DQ-O-P17,备用PC配电间,备用PC配电间,DQ-O,0447EEFAFE1291
DQ-O-P18,PCC间,燃机房西北侧,DQ-O,04B3A5FAFE1290
DQ-O-P21,动力岛变压器室,电气综合楼1F,DQ-O,042393FAFE1291
DQ-O-P22,化工岛变压器室,电气综合楼1F,DQ-O,047650FAFE1291
DQ-O-P23,动力岛PC配电间,电气综合楼1F,DQ-O,0403A8FAFE1291
DQ-O-P24,化工岛PC配电间,电气综合楼1F,DQ-O,04E4F5FAFE1290
DQ-O-P25,电气综合楼电缆夹层,电气综合楼2F,DQ-O,045BA9FAFE1291
DQ-O-P26,10KV配电间及10KV变频器室,电气综合楼3F,DQ-O,042145FAFE1291
DQ-O-P27,柴油发电机室,电气综合楼1F,DQ-O,0457A7FAFE1291
DQ-O-P28,电气综合楼气体消防储罐间,电气综合楼1F,DQ-O,04A15CFAFE1290
DQ-O-P36,空分变频器室,空分变频器室,DQ-O,04712EFAFE1290
DQ-O-P37,输煤PC配电间,厂后区,DQ-O,04E58CFAFE1290
DQ-O-P38,IG循环水泵房MCC段配电间,厂后区,DQ-O,04C1F5FAFE1290
DQ-O-P39,工业废水MCC段盘柜,厂后区,DQ-O,049F0AFAFE1290
DQ-O-P40,热网泵房MCC配电间,厂后区,DQ-O,040ABBFAFE1291
